Type|Name|Parameter|Class|Producer|Unit
--------------|--------------------------------|--------------------------|----------------|-------------------------|
Enum|DeviceStatus||Internal|DeviceState|state
HealthCheck|ManagedServicesOk||Internal|CMDaemonState|state
HealthCheck|Overall_Health|/dev/nvme0@nvme|Disk/Smart|smart|state
HealthCheck|Overall_Health|sda|Disk/Smart|smart|state
HealthCheck|Smart_Health|/dev/nvme0@nvme|Disk/Smart|smart|state
HealthCheck|Smart_Health|sda|Disk/Smart|smart|state
HealthCheck|defaultgateway||Network|defaultgateway|state
HealthCheck|diskspace||Disk|diskspace|state
HealthCheck|dmesg||OS|dmesg|state
HealthCheck|exports||Disk|exports|state
HealthCheck|gpu_health_driver|gpu0|GPU|GPUSampler|state
HealthCheck|gpu_health_driver|gpu1|GPU|GPUSampler|state
HealthCheck|gpu_health_driver|gpu2|GPU|GPUSampler|state
HealthCheck|gpu_health_driver|gpu3|GPU|GPUSampler|state
HealthCheck|gpu_health_hostengine||GPU|GPUSampler|state
HealthCheck|gpu_health_inforom|gpu0|GPU|GPUSampler|state
HealthCheck|gpu_health_inforom|gpu1|GPU|GPUSampler|state
HealthCheck|gpu_health_inforom|gpu2|GPU|GPUSampler|state
HealthCheck|gpu_health_inforom|gpu3|GPU|GPUSampler|state
HealthCheck|gpu_health_mcu|gpu0|GPU|GPUSampler|state
HealthCheck|gpu_health_mcu|gpu1|GPU|GPUSampler|state
HealthCheck|gpu_health_mcu|gpu2|GPU|GPUSampler|state
HealthCheck|gpu_health_mcu|gpu3|GPU|GPUSampler|state
HealthCheck|gpu_health_mem|gpu0|GPU|GPUSampler|state
HealthCheck|gpu_health_mem|gpu1|GPU|GPUSampler|state
HealthCheck|gpu_health_mem|gpu2|GPU|GPUSampler|state
HealthCheck|gpu_health_mem|gpu3|GPU|GPUSampler|state
HealthCheck|gpu_health_nvlink|gpu0|GPU|GPUSampler|state
HealthCheck|gpu_health_nvlink|gpu1|GPU|GPUSampler|state
HealthCheck|gpu_health_nvlink|gpu2|GPU|GPUSampler|state
HealthCheck|gpu_health_nvlink|gpu3|GPU|GPUSampler|state
HealthCheck|gpu_health_nvswitch_fatal|gpu0|GPU|GPUSampler|state
HealthCheck|gpu_health_nvswitch_fatal|gpu1|GPU|GPUSampler|state
HealthCheck|gpu_health_nvswitch_fatal|gpu2|GPU|GPUSampler|state
HealthCheck|gpu_health_nvswitch_fatal|gpu3|GPU|GPUSampler|state
HealthCheck|gpu_health_nvswitch_non_fatal|gpu0|GPU|GPUSampler|state
HealthCheck|gpu_health_nvswitch_non_fatal|gpu1|GPU|GPUSampler|state
HealthCheck|gpu_health_nvswitch_non_fatal|gpu2|GPU|GPUSampler|state
HealthCheck|gpu_health_nvswitch_non_fatal|gpu3|GPU|GPUSampler|state
HealthCheck|gpu_health_overall||GPU|GPUSampler|state
HealthCheck|gpu_health_overall|gpu0|GPU|GPUSampler|state
HealthCheck|gpu_health_overall|gpu1|GPU|GPUSampler|state
HealthCheck|gpu_health_overall|gpu2|GPU|GPUSampler|state
HealthCheck|gpu_health_overall|gpu3|GPU|GPUSampler|state
HealthCheck|gpu_health_pcie|gpu0|GPU|GPUSampler|state
HealthCheck|gpu_health_pcie|gpu1|GPU|GPUSampler|state
HealthCheck|gpu_health_pcie|gpu2|GPU|GPUSampler|state
HealthCheck|gpu_health_pcie|gpu3|GPU|GPUSampler|state
HealthCheck|gpu_health_pmu|gpu0|GPU|GPUSampler|state
HealthCheck|gpu_health_pmu|gpu1|GPU|GPUSampler|state
HealthCheck|gpu_health_pmu|gpu2|GPU|GPUSampler|state
HealthCheck|gpu_health_pmu|gpu3|GPU|GPUSampler|state
HealthCheck|gpu_health_power|gpu0|GPU|GPUSampler|state
HealthCheck|gpu_health_power|gpu1|GPU|GPUSampler|state
HealthCheck|gpu_health_power|gpu2|GPU|GPUSampler|state
HealthCheck|gpu_health_power|gpu3|GPU|GPUSampler|state
HealthCheck|gpu_health_sm|gpu0|GPU|GPUSampler|state
HealthCheck|gpu_health_sm|gpu1|GPU|GPUSampler|state
HealthCheck|gpu_health_sm|gpu2|GPU|GPUSampler|state
HealthCheck|gpu_health_sm|gpu3|GPU|GPUSampler|state
HealthCheck|gpu_health_thermal|gpu0|GPU|GPUSampler|state
HealthCheck|gpu_health_thermal|gpu1|GPU|GPUSampler|state
HealthCheck|gpu_health_thermal|gpu2|GPU|GPUSampler|state
HealthCheck|gpu_health_thermal|gpu3|GPU|GPUSampler|state
HealthCheck|ib||OS|ib|state
HealthCheck|interfaces||Network|interfaces|state
HealthCheck|ipmihealth||environmental|ipmi|state
HealthCheck|ldap||OS|ldap|state
HealthCheck|lustre||Disk|lustre|state
HealthCheck|mounts||Disk|mounts|state
HealthCheck|ntp||Internal|ntp|state
HealthCheck|oomkiller||OS|oomkiller|state
HealthCheck|opalinkhealth||Network|opalinkhealth|state
HealthCheck|rogueprocess||Workload|rogueprocess|state
HealthCheck|schedulers||Workload|schedulers|state
HealthCheck|ssh2node||Network|ssh2node|state
Metric|AlertLevel|count|Internal|AlertLevel|count
Metric|AlertLevel|maximum|Internal|AlertLevel|count
Metric|AlertLevel|sum|Internal|AlertLevel|count
Metric|BlockedProcesses||OS|ProcStat|count
Metric|BufferMemory||Memory|ProcMemInfo|bytes
Metric|BytesRecv|docker0|Network|ProcNetDev|bytes_s
Metric|BytesRecv|eno1|Network|ProcNetDev|bytes_s
Metric|BytesRecv|eno2|Network|ProcNetDev|bytes_s
Metric|BytesRecv|enp65s0f0|Network|ProcNetDev|bytes_s
Metric|BytesRecv|enp65s0f1|Network|ProcNetDev|bytes_s
Metric|BytesRecv|ib0|Network|ProcNetDev|bytes_s
Metric|BytesSent|docker0|Network|ProcNetDev|bytes_s
Metric|BytesSent|eno1|Network|ProcNetDev|bytes_s
Metric|BytesSent|eno2|Network|ProcNetDev|bytes_s
Metric|BytesSent|enp65s0f0|Network|ProcNetDev|bytes_s
Metric|BytesSent|enp65s0f1|Network|ProcNetDev|bytes_s
Metric|BytesSent|ib0|Network|ProcNetDev|bytes_s
Metric|CPU0_DTS||environmental|ipmi|C
Metric|CPU0_TEMP||environmental|ipmi|C
Metric|CPU1_DTS||environmental|ipmi|C
Metric|CPU1_TEMP||environmental|ipmi|C
Metric|CPUGuest||CPU|ProcStat|%
Metric|CPUIdle||CPU|ProcStat|%
Metric|CPUIrq||CPU|ProcStat|%
Metric|CPUNice||CPU|ProcStat|%
Metric|CPUSoftIrq||CPU|ProcStat|%
Metric|CPUSteal||CPU|ProcStat|%
Metric|CPUSystem||CPU|ProcStat|%
Metric|CPUUsage||CPU|ProcStat|%
Metric|CPUUser||CPU|ProcStat|%
Metric|CPUWait||CPU|ProcStat|%
Metric|CRC_Error_Count|sda|Disk/Smart|smart|count
Metric|CacheMemory||Memory|ProcMemInfo|bytes
Metric|Cores||OS|SysInfo|count
Metric|CtxtSwitches||OS|ProcStat|count
Metric|Current_Pending_Sector|sda|Disk/Smart|smart|count
Metric|Current_Power||environmental|ipmi-dcmi|W
Metric|DropRecv|docker0|Network|ProcNetDev|count_s
Metric|DropRecv|eno1|Network|ProcNetDev|count_s
Metric|DropRecv|eno2|Network|ProcNetDev|count_s
Metric|DropRecv|enp65s0f0|Network|ProcNetDev|count_s
Metric|DropRecv|enp65s0f1|Network|ProcNetDev|count_s
Metric|DropRecv|ib0|Network|ProcNetDev|count_s
Metric|DropSent|docker0|Network|ProcNetDev|count_s
Metric|DropSent|eno1|Network|ProcNetDev|count_s
Metric|DropSent|eno2|Network|ProcNetDev|count_s
Metric|DropSent|enp65s0f0|Network|ProcNetDev|count_s
Metric|DropSent|enp65s0f1|Network|ProcNetDev|count_s
Metric|DropSent|ib0|Network|ProcNetDev|count_s
Metric|ErrorsRecv|docker0|Network|ProcNetDev|count_s
Metric|ErrorsRecv|eno1|Network|ProcNetDev|count_s
Metric|ErrorsRecv|eno2|Network|ProcNetDev|count_s
Metric|ErrorsRecv|enp65s0f0|Network|ProcNetDev|count_s
Metric|ErrorsRecv|enp65s0f1|Network|ProcNetDev|count_s
Metric|ErrorsRecv|ib0|Network|ProcNetDev|count_s
Metric|ErrorsSent|docker0|Network|ProcNetDev|count_s
Metric|ErrorsSent|eno1|Network|ProcNetDev|count_s
Metric|ErrorsSent|eno2|Network|ProcNetDev|count_s
Metric|ErrorsSent|enp65s0f0|Network|ProcNetDev|count_s
Metric|ErrorsSent|enp65s0f1|Network|ProcNetDev|count_s
Metric|ErrorsSent|ib0|Network|ProcNetDev|count_s
Metric|Forks||OS|ProcStat|count_s
Metric|FrameErrors|docker0|Network|ProcNetDev|count_s
Metric|FrameErrors|eno1|Network|ProcNetDev|count_s
Metric|FrameErrors|eno2|Network|ProcNetDev|count_s
Metric|FrameErrors|enp65s0f0|Network|ProcNetDev|count_s
Metric|FrameErrors|enp65s0f1|Network|ProcNetDev|count_s
Metric|FrameErrors|ib0|Network|ProcNetDev|count_s
Metric|FreeFiles|/|Disk|ProcMounts|count
Metric|FreeFiles|/boot/efi|Disk|ProcMounts|count
Metric|FreeFiles|/local|Disk|ProcMounts|count
Metric|FreeFiles|/var|Disk|ProcMounts|count
Metric|FreeSpace|/|Disk|ProcMounts|bytes
Metric|FreeSpace|/boot/efi|Disk|ProcMounts|bytes
Metric|FreeSpace|/local|Disk|ProcMounts|bytes
Metric|FreeSpace|/tmp|Disk|ProcMounts|bytes
Metric|FreeSpace|/var|Disk|ProcMounts|bytes
Metric|GPU0_TEMP||environmental|ipmi|C
Metric|GPU1_TEMP||environmental|ipmi|C
Metric|GPU2_TEMP||environmental|ipmi|C
Metric|GPU3_TEMP||environmental|ipmi|C
Metric|HardwareCorruptedMemory||Memory|ProcMemInfo|bytes
Metric|IOInProgress|nvme0n1|Disk|SysBlockStat|count
Metric|IOInProgress|sda|Disk|SysBlockStat|count
Metric|IOTime|nvme0n1|Disk|SysBlockStat|s
Metric|IOTime|sda|Disk|SysBlockStat|s
Metric|Interrupts||OS|ProcStat|count
Metric|IpForwDatagrams||Network|ProcNetSnmp|count_s
Metric|IpFragCreates||Network|ProcNetSnmp|count_s
Metric|IpFragFails||Network|ProcNetSnmp|count_s
Metric|IpFragOKs||Network|ProcNetSnmp|count_s
Metric|IpInAddrErrors||Network|ProcNetSnmp|count_s
Metric|IpInDelivers||Network|ProcNetSnmp|count_s
Metric|IpInDiscards||Network|ProcNetSnmp|count_s
Metric|IpInHdrErrors||Network|ProcNetSnmp|count_s
Metric|IpInReceives||Network|ProcNetSnmp|count_s
Metric|IpInUnknownProtos||Network|ProcNetSnmp|count_s
Metric|IpOutDiscards||Network|ProcNetSnmp|count_s
Metric|IpOutNoRoutes||Network|ProcNetSnmp|count_s
