Entity      ;Measurable                    ;Parameter       ;Type          ;Value                ;Age       ;State     ;Info
------------;------------------------------;----------------;--------------;---------------------;----------;----------;----------
node01    ;AlertLevel                    ;count           ;Internal      ;0.000000             ;48.5s     ;          ;
node01    ;AlertLevel                    ;maximum         ;Internal      ;0.000000             ;48.5s     ;          ;
node01    ;AlertLevel                    ;sum             ;Internal      ;0.000000             ;48.5s     ;          ;
node01    ;BlockedProcesses              ;                ;OS            ;0.000000             ;1m 48s    ;          ;
node01    ;BufferMemory                  ;                ;Memory        ;3204000.000000       ;1m 48s    ;          ;
node01    ;BytesRecv                     ;docker0         ;Network       ;0.000000             ;152w 1d   ;          ;
node01    ;BytesRecv                     ;eno1            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;BytesRecv                     ;eno2            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;BytesRecv                     ;enp65s0f0       ;Network       ;704768.116667        ;1m 48s    ;          ;
node01    ;BytesRecv                     ;enp65s0f1       ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;BytesRecv                     ;ib0             ;Network       ;26.666667            ;1m 48s    ;          ;
node01    ;BytesSent                     ;docker0         ;Network       ;0.000000             ;152w 1d   ;          ;
node01    ;BytesSent                     ;eno1            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;BytesSent                     ;eno2            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;BytesSent                     ;enp65s0f0       ;Network       ;648651.058333        ;1m 48s    ;          ;
node01    ;BytesSent                     ;enp65s0f1       ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;BytesSent                     ;ib0             ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;CPU0_DTS                      ;                ;environmental ;54.000000            ;48.5s     ;          ;
node01    ;CPU0_TEMP                     ;                ;environmental ;46.000000            ;48.5s     ;          ;
node01    ;CPU1_DTS                      ;                ;environmental ;42.000000            ;48.5s     ;          ;
node01    ;CPU1_TEMP                     ;                ;environmental ;58.000000            ;48.5s     ;          ;
node01    ;CPUGuest                      ;                ;CPU           ;0.000000             ;1m 48s    ;          ;
node01    ;CPUIdle                       ;                ;CPU           ;20.293065            ;1m 48s    ;          ;
node01    ;CPUIrq                        ;                ;CPU           ;0.599296             ;1m 48s    ;          ;
node01    ;CPUNice                       ;                ;CPU           ;0.000000             ;1m 48s    ;          ;
node01    ;CPUSoftIrq                    ;                ;CPU           ;0.212496             ;1m 48s    ;          ;
node01    ;CPUSteal                      ;                ;CPU           ;0.000000             ;1m 48s    ;          ;
node01    ;CPUSystem                     ;                ;CPU           ;2.121145             ;1m 48s    ;          ;
node01    ;CPUUsage                      ;                ;CPU           ;0.797069             ;1m 48s    ;          ;
node01    ;CPUUser                       ;                ;CPU           ;76.203244            ;1m 48s    ;          ;
node01    ;CPUWait                       ;                ;CPU           ;0.000000             ;1m 48s    ;          ;
node01    ;CRC_Error_Count               ;sda             ;Disk/Smart    ;0.000000             ;1m 48s    ;          ;
node01    ;CacheMemory                   ;                ;Memory        ;2177816000.000000    ;1m 48s    ;          ;
node01    ;Cores                         ;                ;OS            ;48.000000            ;1m 48s    ;          ;
node01    ;CtxtSwitches                  ;                ;OS            ;356930.117831        ;1m 48s    ;          ;
node01    ;Current_Pending_Sector        ;sda             ;Disk/Smart    ;0.000000             ;123w 3d   ;          ;
node01    ;Current_Power                 ;                ;environmental ;838.000000           ;48.3s     ;          ;
node01    ;DeviceStatus                  ;                ;Internal      ;0.000000             ;3.46s     ;          ;
node01    ;DropRecv                      ;docker0         ;Network       ;0.000000             ;152w 1d   ;          ;
node01    ;DropRecv                      ;eno1            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;DropRecv                      ;eno2            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;DropRecv                      ;enp65s0f0       ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;DropRecv                      ;enp65s0f1       ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;DropRecv                      ;ib0             ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;DropSent                      ;docker0         ;Network       ;0.000000             ;152w 1d   ;          ;
node01    ;DropSent                      ;eno1            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;DropSent                      ;eno2            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;DropSent                      ;enp65s0f0       ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;DropSent                      ;enp65s0f1       ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;DropSent                      ;ib0             ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;ErrorsRecv                    ;docker0         ;Network       ;0.000000             ;152w 1d   ;          ;
node01    ;ErrorsRecv                    ;eno1            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;ErrorsRecv                    ;eno2            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;ErrorsRecv                    ;enp65s0f0       ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;ErrorsRecv                    ;enp65s0f1       ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;ErrorsRecv                    ;ib0             ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;ErrorsSent                    ;docker0         ;Network       ;0.000000             ;152w 1d   ;          ;
node01    ;ErrorsSent                    ;eno1            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;ErrorsSent                    ;eno2            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;ErrorsSent                    ;enp65s0f0       ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;ErrorsSent                    ;enp65s0f1       ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;ErrorsSent                    ;ib0             ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;Forks                         ;                ;OS            ;0.149998             ;1m 48s    ;          ;
node01    ;FrameErrors                   ;docker0         ;Network       ;0.000000             ;152w 1d   ;          ;
node01    ;FrameErrors                   ;eno1            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;FrameErrors                   ;eno2            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;FrameErrors                   ;enp65s0f0       ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;FrameErrors                   ;enp65s0f1       ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;FrameErrors                   ;ib0             ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;FreeFiles                     ;/               ;Disk          ;175350081.000000     ;1m 48s    ;          ;
node01    ;FreeFiles                     ;/boot/efi       ;Disk          ;0.000000             ;1m 48s    ;          ;
node01    ;FreeFiles                     ;/local          ;Disk          ;156281021.000000     ;1m 48s    ;          ;
node01    ;FreeFiles                     ;/var            ;Disk          ;52426213.000000      ;1m 48s    ;          ;
node01    ;FreeSpace                     ;/               ;Disk          ;334679678976.000000  ;1m 48s    ;          ;
node01    ;FreeSpace                     ;/boot/efi       ;Disk          ;104634368.000000     ;1m 48s    ;          ;
node01    ;FreeSpace                     ;/local          ;Disk          ;1588350394368.000000 ;1m 48s    ;          ;
node01    ;FreeSpace                     ;/tmp            ;Disk          ;2088103936.000000    ;152w 1d   ;          ;
node01    ;FreeSpace                     ;/var            ;Disk          ;105077997568.000000  ;1m 48s    ;          ;
node01    ;GPU0_TEMP                     ;                ;environmental ;23.000000            ;48.5s     ;          ;
node01    ;GPU1_TEMP                     ;                ;environmental ;24.000000            ;48.5s     ;          ;
node01    ;GPU2_TEMP                     ;                ;environmental ;24.000000            ;48.5s     ;          ;
node01    ;GPU3_TEMP                     ;                ;environmental ;23.000000            ;48.5s     ;          ;
node01    ;HardwareCorruptedMemory       ;                ;Memory        ;0.000000             ;1m 48s    ;          ;
node01    ;Interrupts                    ;                ;OS            ;241770.353827        ;1m 48s    ;          ;
node01    ;IpForwDatagrams               ;                ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;IpFragCreates                 ;                ;Network       ;28.000000            ;1m 48s    ;          ;
node01    ;IpFragFails                   ;                ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;IpFragOKs                     ;                ;Network       ;10.000000            ;1m 48s    ;          ;
node01    ;IpInAddrErrors                ;                ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;IpInDelivers                  ;                ;Network       ;1185531451.000000    ;1m 48s    ;          ;
node01    ;IpInDiscards                  ;                ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;IpInHdrErrors                 ;                ;Network       ;153.000000           ;1m 48s    ;          ;
node01    ;IpInReceives                  ;                ;Network       ;1185531604.000000    ;1m 48s    ;          ;
node01    ;IpInUnknownProtos             ;                ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;IpOutDiscards                 ;                ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;IpOutNoRoutes                 ;                ;Network       ;141.000000           ;1m 48s    ;          ;
node01    ;IpOutRequests                 ;                ;Network       ;1193927007.000000    ;1m 48s    ;          ;
node01    ;IpReasmOKs                    ;                ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;IpReasmReqds                  ;                ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;LoadFifteen                   ;                ;OS            ;37.680000            ;1m 48s    ;          ;
node01    ;LoadFive                      ;                ;OS            ;37.670000            ;1m 48s    ;          ;
node01    ;LoadOne                       ;                ;OS            ;38.030000            ;1m 48s    ;          ;
node01    ;M2_G0_AMB_TEMP                ;                ;environmental ;42.000000            ;48.5s     ;          ;
node01    ;M2_G1_AMB_TEMP                ;                ;environmental ;40.000000            ;48.5s     ;          ;
node01    ;MB_TEMP1                      ;                ;environmental ;28.000000            ;48.5s     ;          ;
node01    ;MB_TEMP2                      ;                ;environmental ;29.000000            ;48.5s     ;          ;
node01    ;MajorPageFaults               ;                ;Memory        ;0.000000             ;1m 48s    ;          ;
node01    ;ManagedServicesOk             ;                ;Internal      ;0.000000             ;1m 48s    ;          ;
node01    ;MemoryAvailable               ;                ;Memory        ;486803848000.000000  ;1m 48s    ;          ;
node01    ;MemoryFree                    ;                ;Memory        ;488283572000.000000  ;1m 48s    ;          ;
node01    ;MemoryTotal                   ;                ;Memory        ;528221180000.000000  ;1m 48s    ;          ;
node01    ;MemoryUsed                    ;                ;Memory        ;41417332000.000000   ;1m 48s    ;          ;
node01    ;MemoryUsed                    ;cmd             ;Process       ;238825472.000000     ;1m 48s    ;          ;
node01    ;MemoryUtilization             ;                ;Memory        ;0.078409             ;1m 48s    ;          ;
node01    ;NVMeG0_TEMP                   ;                ;environmental ;nan                  ;48.5s     ;          ;
node01    ;NVMeG1_TEMP                   ;                ;environmental ;33.000000            ;48.5s     ;          ;
node01    ;Overall_Health                ;/dev/nvme0@nvme ;Disk/Smart    ;0.000000             ;1m 48s    ;          ;
node01    ;Overall_Health                ;sda             ;Disk/Smart    ;0.000000             ;1m 48s    ;          ;
node01    ;P0_VDDCR_CPU                  ;                ;environmental ;0.840000             ;48.5s     ;          ;
node01    ;P0_VDDCR_SOC                  ;                ;environmental ;0.670000             ;48.5s     ;          ;
node01    ;P0_VDDIO_ABCD                 ;                ;environmental ;1.230000             ;150w 2d   ;          ;
node01    ;P0_VDDIO_EFGH                 ;                ;environmental ;1.230000             ;150w 2d   ;          ;
node01    ;P0_VDD_18                     ;                ;environmental ;1.820000             ;48.5s     ;          ;
node01    ;P1_VDDCR_CPU                  ;                ;environmental ;0.890000             ;48.5s     ;          ;
node01    ;P1_VDDCR_SOC                  ;                ;environmental ;0.670000             ;48.5s     ;          ;
node01    ;P1_VDDIO_ABCD                 ;                ;environmental ;1.230000             ;150w 2d   ;          ;
node01    ;P1_VDDIO_EFGH                 ;                ;environmental ;1.230000             ;150w 2d   ;          ;
node01    ;P1_VDD_18                     ;                ;environmental ;1.820000             ;48.5s     ;          ;
node01    ;PLX0_TEMP                     ;                ;environmental ;41.000000            ;48.5s     ;          ;
node01    ;PLX1_TEMP                     ;                ;environmental ;43.000000            ;48.5s     ;          ;
node01    ;PSU1_HOTSPOT                  ;                ;environmental ;30.000000            ;48.5s     ;          ;
node01    ;PSU2_HOTSPOT                  ;                ;environmental ;30.000000            ;48.5s     ;          ;
node01    ;P_1V0_AUX_LAN                 ;                ;environmental ;0.990000             ;48.5s     ;          ;
node01    ;P_3V3                         ;                ;environmental ;3.370000             ;48.5s     ;          ;
node01    ;P_VBAT                        ;                ;environmental ;2.800000             ;48.5s     ;          ;
node01    ;PacketsRecv                   ;docker0         ;Network       ;0.000000             ;152w 1d   ;          ;
node01    ;PacketsRecv                   ;eno1            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;PacketsRecv                   ;eno2            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;PacketsRecv                   ;enp65s0f0       ;Network       ;11703.200000         ;1m 48s    ;          ;
node01    ;PacketsRecv                   ;enp65s0f1       ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;PacketsRecv                   ;ib0             ;Network       ;0.083333             ;1m 48s    ;          ;
node01    ;PacketsSent                   ;docker0         ;Network       ;0.000000             ;152w 1d   ;          ;
node01    ;PacketsSent                   ;eno1            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;PacketsSent                   ;eno2            ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;PacketsSent                   ;enp65s0f0       ;Network       ;11792.041667         ;1m 48s    ;          ;
node01    ;PacketsSent                   ;enp65s0f1       ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;PacketsSent                   ;ib0             ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;PageFaults                    ;                ;Memory        ;153092.349230        ;1m 48s    ;          ;
node01    ;PageIn                        ;                ;Memory        ;0.000000             ;1m 48s    ;          ;
node01    ;PageOut                       ;                ;Memory        ;1297.055858          ;1m 48s    ;          ;
node01    ;PageSwapIn                    ;                ;Memory        ;0.000000             ;1m 48s    ;          ;
node01    ;PageSwapOut                   ;                ;Memory        ;0.000000             ;1m 48s    ;          ;
node01    ;Pending_Sector_Count          ;sda             ;Disk/Smart    ;0.000000             ;1m 48s    ;          ;
node01    ;ProcessCount                  ;                ;OS            ;1146.000000          ;1m 48s    ;          ;
node01    ;RISER1_TEMP                   ;                ;environmental ;nan                  ;48.5s     ;          ;
node01    ;RISER2_TEMP                   ;                ;environmental ;nan                  ;48.5s     ;          ;
node01    ;RISER3_TEMP                   ;                ;environmental ;57.000000            ;48.5s     ;          ;
node01    ;RISER4_TEMP                   ;                ;environmental ;nan                  ;48.5s     ;          ;
node01    ;RISER5_TEMP                   ;                ;environmental ;nan                  ;48.5s     ;          ;
node01    ;RISER6_TEMP                   ;                ;environmental ;nan                  ;48.5s     ;          ;
node01    ;ReadOnly                      ;/               ;Disk          ;0.000000             ;1m 48s    ;          ;
node01    ;ReadOnly                      ;/boot/efi       ;Disk          ;0.000000             ;1m 48s    ;          ;
node01    ;ReadOnly                      ;/local          ;Disk          ;0.000000             ;1m 48s    ;          ;
node01    ;ReadOnly                      ;/var            ;Disk          ;0.000000             ;1m 48s    ;          ;
node01    ;Reallocated_Sector_Ct         ;sda             ;Disk/Smart    ;0.000000             ;1m 48s    ;          ;
node01    ;Reported_Uncorrect            ;sda             ;Disk/Smart    ;0.000000             ;123w 3d   ;          ;
node01    ;RunningProcesses              ;                ;OS            ;57.000000            ;1m 48s    ;          ;
node01    ;SYS_FAN1                      ;                ;environmental ;5400.000000          ;48.5s     ;          ;
node01    ;SYS_FAN10                     ;                ;environmental ;5400.000000          ;48.5s     ;          ;
node01    ;SYS_FAN11                     ;                ;environmental ;8400.000000          ;48.5s     ;          ;
node01    ;SYS_FAN12                     ;                ;environmental ;8250.000000          ;48.5s     ;          ;
node01    ;SYS_FAN13                     ;                ;environmental ;8250.000000          ;48.5s     ;          ;
node01    ;SYS_FAN14                     ;                ;environmental ;8250.000000          ;48.5s     ;          ;
node01    ;SYS_FAN2                      ;                ;environmental ;5400.000000          ;48.5s     ;          ;
node01    ;SYS_FAN3                      ;                ;environmental ;5400.000000          ;48.5s     ;          ;
node01    ;SYS_FAN4                      ;                ;environmental ;5400.000000          ;48.5s     ;          ;
node01    ;SYS_FAN5                      ;                ;environmental ;5400.000000          ;48.5s     ;          ;
node01    ;SYS_FAN6                      ;                ;environmental ;5400.000000          ;48.5s     ;          ;
node01    ;SYS_FAN7                      ;                ;environmental ;5400.000000          ;48.5s     ;          ;
node01    ;SYS_FAN8                      ;                ;environmental ;5400.000000          ;48.5s     ;          ;
node01    ;SYS_FAN9                      ;                ;environmental ;5400.000000          ;48.5s     ;          ;
node01    ;SYS_POWER                     ;                ;environmental ;800.000000           ;48.5s     ;          ;
node01    ;Smart_Health                  ;/dev/nvme0@nvme ;Disk/Smart    ;0.000000             ;1m 48s    ;          ;
node01    ;Smart_Health                  ;sda             ;Disk/Smart    ;0.000000             ;1m 48s    ;          ;
node01    ;SwapCached                    ;                ;Memory        ;0.000000             ;1m 48s    ;          ;
node01    ;SwapFree                      ;                ;Memory        ;12582908000.000000   ;1m 48s    ;          ;
node01    ;SwapTotal                     ;                ;Memory        ;12582908000.000000   ;1m 48s    ;          ;
node01    ;SwapUsed                      ;                ;Memory        ;0.000000             ;1m 48s    ;          ;
node01    ;SwapUtilization               ;                ;Memory        ;0.000000             ;1m 48s    ;          ;
node01    ;SystemTime                    ;cmd             ;Process       ;330.600000           ;1m 48s    ;          ;
node01    ;TcpCurrEstab                  ;                ;Network       ;341.000000           ;1m 48s    ;          ;
node01    ;TcpInErrs                     ;                ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;TcpRetransSegs                ;                ;Network       ;2699.000000          ;1m 48s    ;          ;
node01    ;Temperature_Celsius           ;sda             ;Disk/Smart    ;18.000000            ;1m 48s    ;          ;
node01    ;ThreadsUsed                   ;cmd             ;Process       ;52.000000            ;1m 48s    ;          ;
node01    ;UDMA_CRC_Error_Count          ;sda             ;Disk/Smart    ;0.000000             ;123w 3d   ;          ;
node01    ;UdpInDatagrams                ;                ;Network       ;47423.000000         ;1m 48s    ;          ;
node01    ;UdpInErrors                   ;                ;Network       ;0.000000             ;1m 48s    ;          ;
node01    ;UdpNoPorts                    ;                ;Network       ;591.000000           ;1m 48s    ;          ;
node01    ;Uncorrectable_Error_Cnt       ;sda             ;Disk/Smart    ;0.000000             ;1m 48s    ;          ;
node01    ;Uptime                        ;                ;OS            ;1.000000             ;1m 48s    ;          ;
node01    ;UsedFiles                     ;/               ;Disk          ;301247.000000        ;1m 48s    ;          ;
node01    ;UsedFiles                     ;/boot/efi       ;Disk          ;0.000000             ;1m 48s    ;          ;
node01    ;UsedFiles                     ;/local          ;Disk          ;3.000000             ;1m 48s    ;          ;
node01    ;UsedFiles                     ;/var            ;Disk          ;2587.000000          ;1m 48s    ;          ;
node01    ;UsedSpace                     ;/               ;Disk          ;24878592000.000000   ;1m 48s    ;          ;
node01    ;UsedSpace                     ;/boot/efi       ;Disk          ;0.000000             ;1m 48s    ;          ;
node01    ;UsedSpace                     ;/local          ;Disk          ;11186020352.000000   ;1m 48s    ;          ;
node01    ;UsedSpace                     ;/tmp            ;Disk          ;48893952.000000      ;152w 1d   ;          ;
node01    ;UsedSpace                     ;/var            ;Disk          ;2243756032.000000    ;1m 48s    ;          ;
node01    ;UserTime                      ;cmd             ;Process       ;377.070000           ;1m 48s    ;          ;
node01    ;VR_P0_IOUT                    ;                ;environmental ;16.000000            ;150w 2d   ;          ;
node01    ;VR_P0_TEMP                    ;                ;environmental ;47.000000            ;48.5s     ;          ;
